string_count,RSHash,JSHash,PJWHash,ELFHash,BKDRHash,SDBMHash,DJBHash,DEKHash,APHash
1000,0,0,0,0,0,0,0,0,6
2000,62,23,0,0,0,24,0,24,19
3000,101,53,0,0,0,92,0,24,61
4000,135,75,0,0,0,132,0,40,93
5000,180,88,0,0,7,172,1,40,142
6000,248,97,0,0,52,212,1,760,234
7000,539,239,0,0,97,252,1,1480,329
8000,836,483,0,0,142,361,1,2200,472
9000,1109,616,0,0,204,478,1,2920,622
10000,1424,709,0,0,249,518,1,3640,770
11000,1585,873,378,378,729,518,1,3736,911
12000,1672,958,882,882,1259,602,145,3736,1075
13000,1790,1114,1386,1386,1789,712,287,3880,1262
14000,1947,1385,1890,1890,2389,752,422,3880,1414
15000,2067,1580,2394,2394,2939,1080,557,4600,1616
16000,2180,1799,2898,2898,3489,1330,692,5320,1810
17000,2341,1954,3402,3402,3584,1370,827,6176,2046
18000,2458,2165,3906,3906,3679,1659,962,6896,2302
19000,2654,2418,4410,4410,3774,1974,1115,7616,2545
20000,2884,2644,4914,4914,4121,2214,1273,8336,2782
21000,3100,2860,5724,5724,4373,2406,1906,8498,3041
22000,3292,3054,6590,6590,4625,2866,2539,8696,3340
23000,3482,3258,7456,7456,4892,3352,3174,8939,3622
24000,3691,3589,8322,8322,5144,3863,3807,9182,3940
25000,3866,3908,9188,9188,5225,4374,4440,10001,4225
26000,4022,4290,10054,10054,5306,4742,5073,10838,4541
27000,4155,4517,10920,10920,5387,5093,5706,11657,4856
28000,4349,4866,11786,11786,5558,5616,6339,12476,5182
29000,4637,5174,12652,12652,5693,6103,6379,13277,5550
30000,4882,5576,13518,13518,5876,6458,6579,14096,5906
31000,5051,5916,14328,14328,6016,7326,6865,14996,6299
32000,5230,6311,15187,15187,6164,8191,7199,15824,6681
33000,5411,6697,16046,16046,6194,9048,7485,16753,7081
34000,5600,7003,16905,16905,6194,9349,7781,17619,7434
35000,5840,7439,17764,17764,6239,9704,8067,18604,7823
36000,6029,7835,18623,18623,6284,10031,8353,19589,8236
37000,6203,8258,19482,19482,6669,10420,8639,20502,8667
38000,6409,8750,20341,20341,6718,10818,8925,21487,9094
39000,6706,9225,21200,21200,6767,11079,9095,22380,9524
40000,6970,9665,22059,22059,6864,11191,9341,23273,9972
41000,7379,10171,22918,22918,7133,12107,9597,23929,10455
42000,7783,10667,23728,23728,7601,12975,9905,24461,10955
43000,8130,11082,24538,24538,8060,13879,10161,25219,11432
44000,8487,11521,25348,25348,8519,14153,10417,25892,11930
45000,8795,11985,26158,26158,9243,14349,10673,26849,12434
46000,9122,12496,26968,26968,9836,14395,10929,27764,12885
47000,9453,12933,27778,27778,10429,14466,11161,28679,13394
48000,9804,13282,28588,28588,11026,14537,11393,29594,13923
49000,10234,13810,29398,29398,11626,14652,11773,30501,14480
50000,10619,14270,30208,30208,12239,14769,12013,31362,15038
51000,11233,14701,31060,31060,12750,15664,12318,32296,15537
52000,11842,15245,31870,31870,13472,16182,12641,33230,16098
53000,12334,15861,32680,32680,14090,16700,12946,34195,16628
54000,12908,16374,33490,33490,14728,17192,13251,35160,17189
55000,13397,16966,34300,34300,15366,17374,13556,36151,17770
56000,13882,17481,35110,35110,16092,17445,13861,37142,18367
57000,14271,18152,35920,35920,16818,17516,14166,38133,18958
58000,14670,18729,36730,36730,17547,17691,14471,39124,19592
59000,15188,19284,37540,37540,18309,17858,14584,40091,20204
60000,15739,19863,38350,38350,19027,17913,14816,41058,20806
61000,16415,20469,39195,39195,19345,18187,15232,41956,21406
62000,17023,21122,40005,40005,19967,19115,15900,42838,22004
63000,17518,21769,40815,40815,20550,20007,16568,43738,22650
64000,18058,22398,41625,41625,21141,20142,17236,44638,23278
65000,18573,22990,42435,42435,21765,20221,17904,45610,23917
66000,19100,23634,43245,43245,22536,20330,18572,46582,24532
67000,19537,24189,44055,44055,23307,20847,19240,47554,25163
68000,19957,24880,44865,44865,24002,21227,19787,48526,25790
69000,20463,25542,45675,45675,24689,21723,20199,49480,26405
70000,21042,26237,46485,46485,25351,22268,20947,50450,27026
71000,21690,26951,47323,47323,25783,23168,21553,51400,27685
72000,22307,27533,48182,48182,26435,24060,22247,52334,28355
73000,22838,28210,49041,49041,27054,24896,22941,53299,29000
74000,23413,28900,49900,49900,27712,25070,23635,54264,29701
75000,23910,29530,50759,50759,28387,25466,24329,55255,30389
76000,24428,30198,51618,51618,29227,25639,25023,56246,31073
77000,24873,30877,52477,52477,30034,25988,25717,57237,31740
78000,25343,31529,53336,53336,30771,26710,26322,58228,32400
79000,25829,32244,54195,54195,31508,27508,26842,59195,33087
80000,26435,32930,55054,55054,32227,28342,27468,60162,33791
81000,27173,33705,55961,55961,32575,29189,28196,61044,34491
82000,27972,34288,56852,56852,33371,30057,28925,61926,35167
83000,28730,35024,57743,57743,34134,30657,29654,62826,35914
84000,29519,35760,58634,58634,34901,31281,30383,63726,36637
85000,30319,36459,59525,59525,35706,31795,31112,64698,37382
86000,31098,37137,60416,60416,36559,32197,31770,65670,38119
87000,31855,37878,61307,61307,37430,32908,32428,66642,38830
88000,32606,38660,62198,62198,38227,33761,33113,67614,39571
89000,33337,39476,63089,63089,39040,34635,33735,68580,40314
90000,34137,40230,63980,63980,39823,35460,34421,69534,41031
91000,34968,40960,64905,64905,40259,36410,34849,70468,41796
92000,35863,41713,65807,65807,40989,37108,35507,71402,42548
93000,36683,42454,66709,66709,41648,38088,36177,72367,43285
94000,37525,43175,67611,67611,42343,38812,36847,73332,44051
95000,38376,44017,68513,68513,43130,39526,37517,74323,44827
96000,39186,44794,69415,69415,44007,40280,38187,75314,45612
97000,39985,45583,70317,70317,44904,41262,38857,76305,46381
98000,40783,46378,71219,71219,45777,41977,39434,77296,47174
99000,41554,47172,72121,72121,46570,42709,39961,78263,47945
100000,42366,47997,73023,73023,47345,43331,40729,79230,48725
